1,2,3,4,5,6,7,8,9,GDPr,UER
0.0002,0.0009,0.001423,0.0031714,0.0062,0.0138,0.04513,0.0898,0.158311,0.961,1.1
0.0001581,0.000807,0.0013322,0.0029562,0.005779,0.012942,0.043993,0.0889,0.156956,0.964,1.2
0.00015655,0.0007981,0.0012043,0.0028186,0.00551,0.012389,0.040823,0.08361,0.151218,0.973,1.1
0.0001564,0.000736,0.0011082,0.0027385,0.005386,0.01165,0.036643,0.07704,0.144256,0.971,0.9
0.00015291,0.0006762,0.0010043,0.0026235,0.005052,0.010767,0.034285,0.07359,0.140671,0.974,0.8
0.00015212,0.0006624,0.000925,0.0022522,0.004372,0.009815,0.030015,0.06654,0.132738,1.003,1
0.00014276,0.0005902,0.0008149,0.002058,0.003983,0.00908,0.027181,0.06263,0.128706,1.011,0.8
0.00013756,0.00055,0.0007228,0.0019733,0.00379,0.008769,0.026864,0.06211,0.12815,1.017,0.6
0.00013582,0.0004577,0.0006098,0.0018472,0.003591,0.008142,0.025427,0.0595,0.124698,1.024,0.5
0.00008035,0.000199,0.0003652,0.0012165,0.002309,0.006318,0.015912,0.04182,0.106038,1.051,0.5
0.00009493,0.0003588,0.0005382,0.0011956,0.002355,0.006355,0.017034,0.04435,0.108354,1.045,0.4
0.0001,0.0004,0.0006,0.0012,0.0025,0.0061,0.0173,0.0456,0.1093,1.037,0.5
